3D VISION Game Ready ,Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,DVI ,Date First Available ,DirectX ,DisplayPort ,Dual-Link DVI Supported ,Edition ,Effective Memory Clock ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Other Ports ,Package Contents ,Power Connector ,SLI Support ,Series ,Slot Width ,System Requirements ,Thermal Design Power ,Virtual Reality Ready ,review_numbers
,['1620 MHz'],['MSI'],['2304'],"['8.90"" x 5.04""']",['NVIDIA'],['Double Fans'],['1410 MHz'],,"['July 06, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,,['14 Gbps'],"['TORX Fan 2.0Dispersion fan blade: Steep curved blade accelerating the airflow.Traditional fan blade: Provides steady airflow to massive heat sink below.Afterburner Overclocking UtilityWireless control through Android/iOS devices.Predator: In-game video recording.Kombustor: DirectX12 benchmark.Supports multi-GPU setups.NVIDIA G-SYNC and HDRGet smooth, tear-free gameplay at refresh rates up to 240 Hz, plus HDR, and more. This is the ultimate gaming display and the go-to equipment for enthusiast gamers.GeForce RTX VRBy combining advanced VR rendering, real-time ray tracing, and AI, GeForce RTX will take VR to a new level of realism.']",['ATX'],['GeForce RTX 2070'],['NVIDIA GeForce RTX 20 Series'],['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['226 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['RTX 2070 Ventus 8G'],['4'],['OpenGL 4.5'],,['VENTUS'],,,['8-Pin'],,,['Dual Slot'],['Recommended PSU: 550W'],['175W'],['Yes'],0 reviews
,['1800 MHz'],['EVGA'],['2560'],"['10.62"" x 4.38""']",['NVIDIA'],['Double Fans'],,,"['June 28, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],,,['14000 MHz'],"['NVIDIA AnselAdjustable RGB LEDAll-Metal Backplate, Pre-InstalledReal-Time Ray TracingNVIDIA GeForce ExperienceNVIDIA HighlightsNVIDIA G-SYNC CompatibleGame Ready DriversMicrosoft DirectX 12 API, Vulkan API, OpenGL 4.5NVIDIA GPU BoostBuilt for EVGA Precision X1Designed for USB Type-C and VirtualLink']",,['GeForce RTX 2070 SUPER'],,['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['270 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['08G-P4-3172-KR'],['4'],['OpenGL 4.5'],"['Windows 10 64-bit, Windows 7 64-bit']",,['1 x USB Type-C VirtualLink'],,['An available 6-pin PCIe power connector and an available 8-pin PCIe power connector'],['2-Way SLI'],,['Dual Slot'],"['650W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['215W'],['Yes'],(105)
,['1815 MHz'],['EVGA'],['2560'],"['11.89"" x 5.39""']",['NVIDIA'],['Triple Fans'],,,"['June 28, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],,,['14000 MHz'],"['NVIDIA AnselAdjustable RGB LEDAll-Metal Backplate, Pre-InstalledReal-Time Ray TracingNVIDIA GeForce ExperienceNVIDIA HighlightsNVIDIA G-SYNC CompatibleGame Ready DriversMicrosoft DirectX 12 API, Vulkan API, OpenGL 4.5NVIDIA GPU BoostBuilt for EVGA Precision X1Designed for USB Type-C and VirtualLinkEVGA iCX2 Technology']",,['GeForce RTX 2070 SUPER'],,['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['302 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['08G-P4-3277-KR'],['4'],['OpenGL 4.5'],"['Windows 10 64-bit, Windows 7 64-bit']",,['1 x Type-C VirtualLink'],,['Two available 8-pin or 6+2-pin PCIe power dongles'],['2-Way SLI'],,['2.75 Slot'],"['650-Watt or greater power supplyPCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot']",['215W'],['Yes'],(51)
,,['GIGABYTE'],['2560'],"['11.26"" x 4.49""']",['NVIDIA'],['WINDFORCE 3X'],['1785 MHz'],,"['February 20, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,,['14000 MHz'],['Powered by GeForce RTX 2070 SUPERIntegrated with 8GB GDDR6 256-bit memory interfaceWINDFORCE 3X Cooling System with alternate spinning fansExtreme Durability and OverclockingProtection Metal Back Plate'],['ATX'],['GeForce RTX 2070 SUPER'],,,['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['286 mm'],['7680 x 4320 @ 60 Hz'],['256-Bit'],['8GB'],['GDDR6'],['GV-N207SWF3OC-8GD'],['4'],['OpenGL 4.6'],,,,,"['1 x 8-Pin, 1 x 6-Pin']",['2-way NVIDIA NVLINK'],,['2.5 slot'],['System PSU Limitation: 650W'],['235W'],['Yes'],(3)
,['N/A'],['EVGA'],['2560'],"['10.62"" x 4.38""']",['NVIDIA'],['Double Fans'],,,"['July 15, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],,['None'],['14000 MHz'],"['NVIDIA AnselAdjustable RGB LEDAll-Metal Backplate, Pre-InstalledReal-Time Ray TracingNVIDIA GeForce ExperienceNVIDIA HighlightsNVIDIA G-SYNC CompatibleGame Ready DriversMicrosoft DirectX 12 API, Vulkan API, OpenGL 4.5NVIDIA GPU BoostBuilt for EVGA Precision X1Designed for USB Type-C and VirtualLink']",,['GeForce RTX 2070 SUPER'],,['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['270 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['08G-P4-3173-KR'],['4'],['OpenGL 4.5'],"['Windows 10 64-bit, Windows 7 64-bit']",,['1 x USB Type-C VirtualLink'],,['An available 6-pin PCIe power connector and an available 8 pin PCIe power connector'],['2-Way SLI'],,['2.75 Slot'],"['650W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['215W'],['Yes'],"16,363 (88% Positive)"
,['1770 MHz'],['EVGA'],['2560'],"['10.62"" x 4.38""']",['NVIDIA'],['Double Fans'],,,"['July 25, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,,['14000 MHz'],"['NVIDIA Ansel  Real-Time Ray Tracing  NVIDIA GeForce Experience  NVIDIA Highlights  NVIDIA G-SYNC Compatible  Game Ready Drivers  Microsoft DirectX 12 API, Vulkan API, OpenGL 4.5  NVIDIA GPU Boost  Built for EVGA Precision X1  Designed for USB Type-C and VirtualLink']",,,['GeForce RTX 2070 SUPER'],['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['270 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['08G-P4-3071-KR'],['4'],['OpenGL 4.5'],"['Windows 10 64-bit, Windows 7 64-bit']",,['1 x USB Type-C VirtualLink'],,['An available 6-pin PCIe power connector and an available 8-pin PCIe power connector'],['2-Way SLI'],,['Dual Slot'],"['650W or greater power supply. PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['215W'],['Yes'],0 reviews
,,,,,,,,,"['October 28, 2020']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,107 (92% Positive)"
,,,,,,,,,"['October 25, 2020']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 reviews
,['1800 MHz'],['EVGA'],['2560'],"['10.62"" x 4.38""']",['NVIDIA'],['Double Fans'],,,"['October 08, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],,,['14000 MHz'],"['NVIDIA Ansel  Adjustable RGB LED  All-Metal Backplate, Pre-Installed  Real-Time Ray Tracing  NVIDIA GeForce Experience  NVIDIA Highlights  NVIDIA G-SYNC Compatible  Game Ready Drivers  Microsoft DirectX 12 API, Vulkan API, OpenGL 4.5  NVIDIA GPU Boost  Built for EVGA Precision X1  Designed for USB Type-C and VirtualLink']",,['GeForce RTX 2070 SUPER'],,['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['270 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['08G-P4-3172-KR'],['4'],['OpenGL 4.5'],"['Windows 10 64-bit, Windows 7 64-bit']",,['1 x USB Type-C VirtualLink'],,['An available 6-pin PCIe power connector and an available 8-pin PCIe power connector'],['2-Way SLI'],,['Dual Slot'],"['650W or greater power supply. PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['215W'],['Yes'],0 reviews
,['1815 MHz'],['EVGA'],['2560'],"['11.89"" x 5.39""']",['NVIDIA'],['Triple Fans'],,,"['October 26, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,,['15500 MHz'],,,['GeForce RTX 2070 SUPER'],,['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['302 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['08G-P4-3377-KR'],['4'],['OpenGL 4.5'],"['Windows 10 (64-bit), Windows 7 (64-bit)']",,['1 x USB Type-C VirtualLink'],,,['SLI Ready'],,['2.75-Slot'],"['650-Watt or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.Two available 8-pin or 6+2-pin PCIe power dongles.']",['235W'],['Yes'],0 reviews
