Boost Clock ,Brand ,CUDA Cores ,Card Dimensions (L x H) ,Chipset Manufacturer ,Cooler ,Core Clock ,Date First Available ,DirectX ,DisplayPort ,Edition ,Effective Memory Clock ,Features ,Form Factor ,GPU ,GPU Series ,HDCP Ready ,HDMI ,Interface ,Max GPU Length ,Max Resolution ,Memory Interface ,Memory Size ,Memory Type ,Model ,Multi-Monitor Support ,OpenGL ,Operating Systems Supported ,Option ,Other Ports ,Package Contents ,Power Connector ,RAMDAC ,SLI Support ,Series ,Slot Width ,System Requirements ,Thermal Design Power ,Thunderbolt 3 ,Virtual Reality Ready ,review_numbers
,['GIGABYTE'],['3072'],"['11.26"" x 4.49""']",['NVIDIA'],['WINDFORCE 3X'],['1815 MHz'],"['October 16, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,['15500 MHz'],['Powered by GeForce RTX 2080 SUPERIntegrated with 8GB GDDR6 256-bit memory interfaceWINDFORCE 3X Cooling System with alternate spinning fansExtreme Durability and OverclockingProtection Metal Back Plate'],['ATX'],['GeForce RTX 2080 SUPER'],,,['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['286 mm'],['7680x4320@60Hz'],['256-Bit'],['8GB'],['GDDR6'],['GV-N208SWF3-8GD'],['4'],['OpenGL 4.6'],,,,['Accessories:Quick guideDriver CD'],"['1 x 6-Pin, 1 x 8-Pin']",,['2-way NVIDIA NVLINK'],,['2.5 slot'],['Recommended PSU: 650W'],,,['Yes'],247 (72% Positive)
,['PNY'],,,['NVIDIA'],['With Fan'],,"['September 18, 2020']",['DirectX 12OpenGL 4.5Vulkan'],['3'],,,['DisplayPort:Yes'],['Plug-in Card'],['RTX 2080 SUPER'],,,['1 x HDMI'],,,,['256-Bit'],['8 GB'],['GDDR6'],,,['DirectX 12OpenGL 4.5Vulkan'],,,,,,,,,,,,,,0 reviews
['1635 MHz'],,['4352'],,,,['1350 MHz'],"['July 12, 2019']",['DirectX 12'],['1 x DisplayPort 1.4a'],,['14 Gbps'],,,['GeForce RTX 2080 Ti  Founders Edition'],,['Yes'],['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],,['7680 x 4320'],['352-Bit'],['11GB'],['GDDR6'],['NVIDIA GeForce RTX 20 Series'],['4'],['OpenGL 4.6'],,,,,"['1 x 8-pin, 1 x 8-pin']",,['NVIDIA RTX NVLink Bridge SLI-I Recommended PSU: 650W'],,['Dual Slot'],,,,['Yes'],0 reviews
,['ASUSTEK'],,,,,,"['June 25, 2020']",,['2 x DisplayPort'],,,,,['GeForce RTX 2080 SUPER'],['NVIDIA GeForce RTX 20 Series'],,['2 x HDMI'],,,,,['8GB'],['GDDR6'],,,,,,,,,,,,,,['250W'],,,0 reviews
,,,,,,,"['October 15, 2020']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 reviews
,,,,,,,"['September 24, 2020']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 reviews
['1710 MHz'],['PNY'],['2944'],"['11.06"" x 5.04""']",['NVIDIA'],['Single Fan'],['1515 MHz'],"['September 18, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,['14 Gbps'],"['The GeForce RTX 2080 is powered by the all-new NVIDIA Turing architecture to give you incredible new levels of gaming realism, speed, power efficiency, and immersion. This is graphics reinvented.']",,['GeForce RTX 2080'],['NVIDIA GeForce RTX 20 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0'],['281 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['VCG20808BLMPB'],['4'],['OpenGL 4.5'],"['Microsoft Windows 10 64-bit (April 2018 Update or later), Windows 7 64-bit, Linux 64-bit']",,['1 x USB Type-C'],,['One 6-pin and one 8-pin'],,['NVLink 2-Way'],,['Dual Slot'],['Recommended Power Supply: 650W or greaterPCI Express-compliant motherboard with one dual-width x16 graphics slot1.5GB available hard-disk space8GB system memory (16GB recommended)One 6-pin and one 8-pin supplementary power connectorsInternet connection'],['215W'],,['Yes'],0 reviews
,['ZOTAC'],['2944'],,['NVIDIA'],['With Fan'],,"['September 26, 2019']",,,,,,,,,,,['PCI-Express 3.0'],,"['4096 x 2160, Support 4x Display Monitors']",['256-Bit'],['8GB'],['GDDR6'],['NVIDIA GeForce RTX 2080'],,,,,,,,['400MHz'],,,,,,,,0 reviews
,,,,,,,"['September 15, 2020']",,,,,,,['GeForce RTX 2080 Ti'],,,,,,,,['11GB'],['GDDR6'],,,,,,,,,,,,,,['300W'],,,0 reviews
,,,,,,,"['October 07, 2020']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 reviews
,,,,,,,"['October 25, 2020']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 reviews
,['MSI'],,,,['With Fan'],['1515 MHz (Base) / 1845 MHz (Boost)'],"['September 25, 2020']",,,,,,,['NVIDIA GeForce RTX 2080'],,,,"['PCI-E x16 3.0, 6-pin and 8-pin Power Connectors']",,,,['8GB'],,['G2080D8C'],,,,,,,,,,,,,,,,40 (60% Positive)
,,,,,,,"['October 05, 2020']",,['3 x DisplayPort'],,,,,['GeForce RTX 2080 Ti'],['NVIDIA GeForce RTX 20 Series'],,['1 x HDMI'],,,,,['11GB'],['GDDR6'],,,,,,,,,,,,,,['300W'],,,0 reviews
['N/A'],['GIGABYTE'],,,,['Triple Fans'],,"['October 26, 2020']",,,['None'],,,,,,,,,,,,['11GB'],,,,,,['WF3-11GC'],,,,,,,,,,,,0 reviews
,,,,,,,"['September 30, 2020']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 reviews
,,,,,,,"['June 24, 2020']",,['3 x DisplayPort'],,,,,['GeForce RTX 2080 SUPER'],['NVIDIA GeForce RTX 20 Series'],,['1 x HDMI'],,,,,['8GB'],['GDDR6'],,,,,,,,,,,,,,['250W'],,,0 reviews
['N/A'],['GIGABYTE'],,,,['Triple Fans'],,"['October 26, 2020']",,,['None'],,,,,,,,,,,,['8GB'],,,,,,['WINDFORCE OC'],,,,,,,,,,,,0 reviews
['1860 MHz'],['MSI'],['2944'],"['12.87"" x 5.51""']",['NVIDIA'],['Triple Fans'],['1515 MHz'],"['January 22, 2019']",['DirectX 12'],['3 x DisplayPort 1.4'],,['14 Gbps'],['TORX FAN 3.0: Supremely silent - Dispersion fan blade: Steeper curved blade accelerating the airflow. - Traditional fan blade: Provides steady airflow to massive heat sink below. - Double ball bearing: Strong and lasting core for years of smooth gaming.  Dragon Center - 1 click to optimize all you need for smooth gaming.'],,['GeForce RTX 2080'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['327 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['RTX 2080 GAMING X TRIO'],['4'],['OpenGL 4.5'],,,['1 x USB Type-C'],['Accessories: 1 x 6-pin to 8-pin power cable'],['2 x 8-Pin'],,['2-Way SLI'],,,['Power consumption: 250W Recommended PSU: 650W'],,,['Yes'],0 reviews
,,,,,,,"['October 26, 2020']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 reviews
,['GIGABYTE'],['4352'],"['11.28"" x 4.51""']",['NVIDIA'],,['1665 MHz in OC mode 1650 MHz in Gaming mode'],"['October 08, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,['14000 MHz'],['Powered by GeForce RTX 2080 Ti  Integrated with 11GB GDDR6 352-bit memory interface  WINDFORCE 3X Cooling System with alternate spinning fans  RGB Fusion 2.0 - synchronize with other AORUS devices  Metal Back Plate'],['ATX'],['GeForce RTX 2080 Ti'],['NVIDIA GeForce RTX 20 Series'],,['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['287 mm'],['7680 x 4320 @ 60 Hz'],['352-Bit'],['11GB'],['GDDR6'],['GV-N208TGAMING OC-11GC'],['4'],['OpenGL 4.5'],,,['1 x USB Type-C (support VirtualLink)'],,['2 x 8-Pin'],,['2-way NVIDIA NVLINK'],,,['Recommended PSU: 650W'],['250W'],,['Yes'],0 reviews
,,,,,,,"['September 30, 2020']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 reviews
['N/A'],['GIGABYTE'],,,,['Triple Fans'],,"['October 26, 2020']",,,['None'],,,,,,,,,,,,['11GB'],,,,,,['AORUS-11GC'],,,,,,,,,,,,0 reviews
['N/A'],['GIGABYTE'],,,,['Triple Fans'],,"['October 26, 2020']",,,['None'],,,,,,,,,,,,['8GB'],,,,,,['GAMING OC R2'],,,,,,,,,,,,0 reviews
['N/A'],['GIGABYTE'],,,,['Liquid Cooler'],,"['October 26, 2020']",,,['None'],,,,,,,,,,,,['8GB'],,,,,,['AORUS WATERFORCE WB'],,,,,,,,,,,,0 reviews
,['GIGABYTE'],['3072'],"['11.28"" x 4.51""']",['NVIDIA'],['WINDFORCE 3X'],['1815 MHz'],"['October 26, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,['15500 MHz'],['Powered by GeForce RTX 2080 SUPERIntegrated with 8GB GDDR6 256-bit memory interfaceWINDFORCE 3X Cooling System with alternate spinning fansRGB Fusion 2.0 - synchronize with other AORUS devicesMetal Back Plate'],['ATX'],['GeForce RTX 2080 SUPER'],,,['1 x HDMI 2.0b'],['PCI Express 3.0 x16'],['287 mm'],['7680x4320@60Hz'],['256-Bit'],['8GB'],['GDDR6'],['GV-N208SGAMING-8GC Ver 2.0'],['4'],['OpenGL 4.6'],,,['1 x USB Type-C (support VirtualLink)'],['Accessories:Quick guideDriver CD'],"['1 x 6-Pin, 1 x 8-Pin']",,['2-way NVIDIA NVLINK'],,['2.5 slot'],['Recommended PSU: 650W'],,,['Yes'],(1)
,,,,,,,"['October 23, 2020']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 reviews
['N/A'],['GIGABYTE'],,,,['Triple Fans'],,"['October 26, 2020']",,,['None'],,,,,,,,,,,,['8GB'],,,,,,['AORUS'],,,,,,,,,,,,0 reviews
['N/A'],['GIGABYTE'],,,,['Liquid Cooler'],,"['October 26, 2020']",,,['None'],,,,,,,,,,,,['8GB'],,,,,,['AORUS WATERFORCE'],,,,,,,,,,,,0 reviews
,,,,,,,"['October 02, 2020']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 reviews
,['GIGABYTE'],['4352'],"['11.42"" x 5.16""']",['NVIDIA'],,['1770 MHz'],"['October 23, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,['14140 MHz'],['Powered by GeForce RTX 2080 Ti  Integrated with 11GB GDDR6 352-bit memory interface  WATERFORCE all-in-one cooling system  240mm radiator with 2 x 120mm RGB fans  7 Video Outputs  RGB Fusion - 16.7M customizable color lighting  Metal Back Plate with RGB AORUS LOGO Illumination  Built for Extreme Overclocking 16+3 Power Phases'],['ATX'],['GeForce RTX 2080 Ti'],['NVIDIA GeForce RTX 20 Series'],,['3 x HDMI 2.0b'],['PCI Express 3.0 x16'],['290 mm'],['7680 x 4320'],['352-Bit'],['11GB'],['GDDR6'],['GV-N208TAORUSX W-11GC'],['4'],['OpenGL 4.5'],,,['1 x USB Type-C (support VirtualLink)'],['Accessories: AORUS metal sticker Quick guide 4-year warranty registration I/O guide Driver CD Installation Screws & Pads'],['2 x 8-Pin'],,['2-way NVIDIA NVLINK'],['AORUS'],['Dual Slot'],['Recommended PSU: 750W'],['250W'],,['Yes'],0 reviews
,,,,,,,"['October 03, 2020']",,['2 x DisplayPort'],,,,,['GeForce RTX 2080 SUPER'],['NVIDIA GeForce RTX 20 Series'],,['2 x HDMI'],,,,,['8GB'],['GDDR6'],,,,,,,,,,,,,,['250W'],,,0 reviews
['N/A'],['GIGABYTE'],,,,['Triple Fans'],,"['October 26, 2020']",,,['None'],,,,,,,,,,,,['8GB'],,,,,,['WindForce'],,,,,,,,,,,,0 reviews
['N/A'],['GIGABYTE'],,,,['Liquid Cooler'],,"['October 26, 2020']",,,['None'],,,,,,,,,,,,['8GB'],,,,,,['GAMING 8G'],,,,,,,,,,,,0 reviews
['N/A'],['GIGABYTE'],,,,['Triple Fans'],,"['October 26, 2020']",,,['None'],,,,,,,,,,,,['11GB'],,,,,,['GAMING OC-11GC'],,,,,,,,,,,,0 reviews
['OC mode: 1890 MHzGaming mode: 1860 MHz'],['ASUS'],['3072'],"['11.80"" x 5.10""']",['NVIDIA'],['Triple Fans'],['OC mode: 1680 MHzGaming mode: 1650 MHz'],"['October 20, 2020']",,['2 x DisplayPort 1.4'],,['15500 MHz'],"['RT Cores: Dedicated ray tracing hardware enables fast real-time ray tracing of objects and environments with physically accurate shadows, reflections, refractions, and global illumination.Concurrent Floating Point and Integer Processing: Turing GPUs more efficiently process the compute heavy workloads of modern games.Ultra-fast GDDR6: Experience up to 496 GB/s of memory bandwidth for high-speed, high-resolution gaming.Axial-tech fan design features a smaller fan hub that facilitates longer blades and a barrier ring that increases downward air pressure.0dB Technology lets you enjoy light gaming in relative silence.2.7-slot Design expands cooling surface area to make the most of the three powerful Axial-tech fans.Auto-Extreme Technology uses automation to enhance reliability.A reinforced frame prevents excessive torsion and lateral bending of the PCB.GPU Tweak II provides intuitive performance tweaking, thermal controls, and system monitoring.Aura Sync compatibility lets you customize and sync lighting effects with other compatible hardware.']",,['GeForce RTX 2080 SUPER'],,['2.2'],['2 x HDMI 2.0b'],['PCI Express 3.0'],['300 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['ROG-STRIX-RTX2080S-O8G-GAMING'],['4'],['OpenGL 4.6'],,,['1 x USB Type-C'],['Accessories:1 x Quick Guide1 x ROG Velcro Hook & Loop'],['2 x 8-Pin'],,['SLI Ready'],['ROG STRIX'],['2.7 Slots'],['Recommended PSU: 650W'],['250W'],,['Yes'],883 (79% Positive)
['OC Mode: 1740 MHz Gaming Mode (Default): 1710 MHz'],['ASUS'],['2944'],"['10.54"" x 4.45""']",['NVIDIA'],['Single Fan'],['1515 MHz'],"['October 22, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,['14000 MHz'],"[""GeForce RTX graphics cards are powered by the Turing GPU architecture and the all-new RTX platform. This gives you up to 6X the performance of previous-generation graphics cards and brings the power of real-time ray tracing and AI to games.DirectX 12: Power new visual effects and rendering techniques for more lifelike gaming.4K: Step up to the ultimate 4K gaming experience with GeForce RTX and enjoy today's biggest games in amazing detail.A redesigned shroud incorporates a raised edge to preserve air intake in cramped environments.Dual ball fan bearings can last up to twice as long as sleeve bearing designs.Auto-Extreme Technology uses automation to enhance reliability.144-Hour Validation Program puts cards through a series of stringent tests to ensure compatibility with the latest games.GPU Tweak II provides intuitive performance tweaking, thermal controls, and system monitoring.""]",,['GeForce RTX 2080'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['268 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['TURBO-RTX2080-8G-EVO'],['4'],['OpenGL 4.5'],,,,['Accessories:1 x CD1 x Quick Guide'],"['1 x 6-pin, 1 x 8-pin']",,['SLI Ready'],['Turbo'],['Dual Slot'],['Recommended PSU: 650W'],['250W'],,['Yes'],0 reviews
['OC Mode: 1590 MHzGaming Mode: 1575 MHz'],['ASUS'],['4352'],"['12.00"" x 5.13""']",['NVIDIA'],['Triple Fans'],['1350 MHz'],"['September 28, 2020']",['DirectX 12'],['2 x DisplayPort 1.4'],,['14000 MHz'],"['NVIDIA TURING: ROG GeForce RTX graphics cards are powered by the Turing  GPU architecture and the all-new RTX platform. This gives you up to 6X the performance of previous-generation graphics cards and brings the power of real-time ray tracing and AI to games.DirectX 12: Power new visual effects and rendering techniques for more lifelike gaming.4K: Step up to the ultimate 4K gaming experience with GeForce RTX and enjoy today’s biggest games in amazing detail.Axial-tech Fans feature an all-around better design and IP5X dust resistance.2.7-Slot Design expands cooling surface area by over 20% compared to last gen.MaxContact Technology allows 2X more contact with the GPU chip for improved thermal transfer.Auto-Extreme Technology uses automation to enhance reliability.Super Alloy Power II includes premium alloy chokes, solid polymer capacitors, and an array of high-current power stages to fuel Turing’s cores.ASUS FanConnect II equips 2 hybrid-controlled fan headers for optimal system cooling.GPU Tweak II provides intuitive performance tweaking and thermal controls.']",,['GeForce RTX 2080 Ti'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['2 x HDMI 2.0b'],['PCI Express 3.0'],['305 mm'],['7680 x 4320'],['352-Bit'],['11GB'],['GDDR6'],['ROG-STRIX-RTX2080TI-A11G-GAMING'],['4'],['OpenGL 4.6'],,,['1 x USB Type-C'],['Accessories:1 x CD1 x Quick Guide1 x ROG Velcro Hook & Loop'],['2 x 8-Pin'],,['SLI Ready'],['ROG Strix'],['2.7-slot'],['Recommended PSU: 650W'],['250W'],,['Yes'],0 reviews
['OC Mode: 1560 MHz Gaming Mode (Default): 1545 MHz'],['ASUS'],['4352'],"['10.53"" x 4.47""']",['NVIDIA'],['Double Fans'],['1350 MHz'],"['September 02, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,['14000 MHz'],"[""NVIDIA TURING: ASUS GeForce RTX graphics cards are powered by the Turing GPU architecture and the all-new RTX platform. This gives you up to 6X the performance of previous-generation graphics cards and brings the power of real-time ray tracing and AI to games.DirectX 12: Power new visual effects and rendering techniques for more lifelike gaming.4K: Step up to the ultimate 4K gaming experience with GeForce RTX and enjoy today's biggest games in amazing detail.Unique Wing-blade Fans deliver high air pressure, reduced noise levels, IP5X certified dust resistance, and 0dB mode for silent gaming.2.7-Slot Design to expand cooling surface area by more than 50% compared to last gen.Reinforced by a Protective Backplate that prevents PCB flex and trace damage.144-Hour Validation Program puts cards through a series of stringent tests to ensure reliability.GPU Tweak II provides intuitive performance tweaking and thermal controls.""]",,['GeForce RTX 2080 Ti'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['268 mm'],['7680 x 4320'],['352-Bit'],['11GB'],['GDDR6'],['DUAL-RTX2080TI-11G'],['4'],['OpenGL 4.5'],,,['1 x USB Type-C'],['Accessories:1 x CD1 x Quick Guide'],['2 x 8-Pin'],,['SLI Ready'],['Dual'],['2.7-slot'],['Recommended PSU: 650W'],['250W'],,['Yes'],0 reviews
['OC Mode: 1755 MHz Gaming Mode: 1725 MHz'],['ASUS'],['2944'],"['10.53"" x 4.47""']",['NVIDIA'],['Double Fans'],['1515 MHz'],"['October 07, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,['14000 MHz'],"[""NVIDIA TURING: ASUS GeForce RTX graphics cards are powered by the Turing GPU architecture and the all-new RTX platform. This gives you up to 6X the performance of previous-generation graphics cards and brings the power of real-time ray tracing and AI to games.DirectX 12: Power new visual effects and rendering techniques for more lifelike gaming.4K: Step up to the ultimate 4K gaming experience with GeForce RTX and enjoy today's biggest games in amazing detail.Unique Wing-blade Fans deliver high air pressure, reduced noise levels, IP5X certified dust resistance, and 0 dB mode for silent gaming.2.7-Slot Design to expand cooling surface area by more than 50% compared to last gen.Reinforced by a Protective Backplate that prevents PCB flex and trace damage.144-Hour Validation Program puts cards through a series of stringent tests to ensure reliability.GPU Tweak II provides intuitive performance tweaking and thermal controls.""]",,['GeForce RTX 2080'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['268 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['DUAL-RTX2080-A8G'],['4'],['OpenGL 4.6'],,,['1 x USB Type-C'],['Accessories:1 x CD1 x Quick Guide'],"['1 x 6-Pin, 1 x 8-Pin']",,['SLI Ready'],['Dual'],['2.7-slot'],['Recommended PSU: 650W'],['215W'],,['Yes'],0 reviews
['OC mode: 1815 MHzGaming mode (Default): 1800 MHz'],['ASUS'],['4352'],"['12.20"" x 5.30""']",['NVIDIA'],['Triple Fans'],['1350 MHz'],"['October 07, 2020']",['DirectX 12'],['2 x DisplayPort 1.4'],,['14800 MHz'],,,['GeForce RTX 2080 Ti'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['2 x HDMI 2.0b'],,['310 mm'],['7680 x 4320'],['352-Bit'],['11GB'],['GDDR6'],['ROG-MATRIX-RTX2080TI-P11G-GAMING'],['4'],['OpenGL 4.6'],,,['1 x USB Type-C'],['Accessories:1 x ROG Velcro Hook & Loop1 x ROG Sticker1 x CD1 x Quick Guide'],['2 x 8-Pin'],,['SLI Ready'],['ROG'],,['Recommended PSU: 850W'],['250W'],,['Yes'],0 reviews
['OC Mode: 1830 MHzGaming Mode: 1800 MHz'],['ASUS'],['2944'],"['10.50"" x 4.65""']",['NVIDIA'],['Double Fans'],['1515 MHz'],"['October 07, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,['14000 MHz'],"[""NVIDIA TURING: ASUS GeForce RTX graphics cards are powered by the Turing GPU architecture and the all-new RTX platform. This gives you up to 6X the performance of previous-generation graphics cards and brings the power of real-time ray tracing and AI to games.DirectX 12: Power new visual effects and rendering techniques for more lifelike gaming.4K: Step up to the ultimate 4K gaming experience with GeForce RTX and enjoy today's biggest games in amazing detail.Axial-tech Fans feature an all-around better design and IP5X dust resistance.2.7-Slot Design expands cooling surface area to make the most of the two powerful Axial-tech fans.Auto-Extreme Technology uses automation to enhance reliability.Reinforced by a Protective Backplate that prevents PCB flex and trace damage.GPU Tweak II provides intuitive performance tweaking and thermal controls.144-Hour Validation Program puts cards through a series of stringent tests to ensure reliability.""]",,['GeForce RTX 2080'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['267 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['DUAL-RTX2080-O8G-EVO'],['4'],['OpenGL 4.6'],,,['1 x USB TYPE-C'],['Accessories:1 x CD1 x Quick Guide'],"['1 x 6-pin, 1 x 8-pin']",,['SLI Ready'],['Dual'],['2.7-slot'],['Recommended PSU: 650W'],['260W'],,['Yes'],0 reviews
['OC Mode: 1740 MHz Gaming Mode: 1710 MHz'],['ASUS'],['2944'],"['10.50"" x 4.65""']",['NVIDIA'],['Double Fans'],['1515 MHz'],"['October 07, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,['14000 MHz'],"[""NVIDIA TURING: ASUS GeForce RTX graphics cards are powered by the Turing GPU architecture and the all-new RTX platform. This gives you up to 6X the performance of previous-generation graphics cards and brings the power of real-time ray tracing and AI to games.DirectX 12: Power new visual effects and rendering techniques for more lifelike gaming.4K: Step up to the ultimate 4K gaming experience with GeForce RTX and enjoy today's biggest games in amazing detail.Axial-tech Fans feature an all-around better design and IP5X dust resistance.2.7-Slot Design expands cooling surface area to make the most of the two powerful Axial-tech fans.Auto-Extreme Technology uses automation to enhance reliability.Reinforced by a Protective Backplate that prevents PCB flex and trace damage.GPU Tweak II provides intuitive performance tweaking and thermal controls.144-Hour Validation Program puts cards through a series of stringent tests to ensure reliability.""]",,['GeForce RTX 2080'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['267 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['DUAL-RTX2080-8G-EVO'],['4'],['OpenGL 4.6'],,,['1 x USB Type-C'],['Accessories:1 x CD1 x Quick Guide'],"['1 x 6-Pin, 1 x 8-Pin']",,['SLI Ready'],['Dual'],['2.7-slot'],['Recommended PSU: 650W'],['260W'],,['Yes'],0 reviews
,,,,,,,"['September 02, 2020']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 reviews
['1650 MHz'],['EVGA'],['4352'],"['10.62"" x 4.38""']",['NVIDIA'],['Double Fans'],,"['August 17, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,['14000 MHz'],"['NVIDIA AnselAdjustable RGB LEDAll-Metal Backplate, Pre-InstalledReal-Time Ray TracingNVIDIA GeForce ExperienceNVIDIA HighlightsNVIDIA G-SYNC CompatibleGame Ready DriversMicrosoft DirectX 12 API, Vulkan API, OpenGL 4.5NVIDIA GPU BoostBuilt for EVGA Precision X1Designed for USB Type-C and VirtualLink']",,['GeForce RTX 2080 Ti'],['NVIDIA GeForce RTX 20 Series'],['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['270 mm'],['7680 x 4320'],['352-Bit'],['11GB'],['GDDR6'],['11G-P4-2383-KR'],['4'],['OpenGL 4.5'],"['Windows 10 64-bit, Windows 7 64-bit']",,['1 x USB TYPE-C'],,['2 x 8-Pin'],,['2-Way SLI'],,['2.75 Slots'],"['650-Watt or greater power supply. PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot. Two available 8-pin or 6+2-pin PCI-E power dongles.']",['250W'],,['Yes'],(37)
,,,,,,,"['September 25, 2020']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(2)
['1815 MHz'],['EVGA'],['3072'],"['10.62"" x 4.38""']",['NVIDIA'],['Double Fans'],,"['May 22, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,['15500 MHz'],"['NVIDIA AnselReal-Time Ray TracingNVIDIA GeForce ExperienceNVIDIA HighlightsNVIDIA G-SYNC CompatibleGame Ready DriversMicrosoft DirectX 12 API, Vulkan API, OpenGL 4.5NVIDIA GPU BoostBuilt for EVGA Precision X1Designed for USB Type-C and VirtualLink']",,['GeForce RTX 2080 SUPER'],,['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['270 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['08G-P4-3081-KR'],['4'],['OpenGL 4.5'],"['Windows 10 (64-bit), Windows 7 (64-bit)']",,['1 x USB Type-C VirtualLink'],,"['1 x 6-Pin, 1 x 8-Pin']",,['2-Way SLI'],,['Dual Slot'],"['650W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['250W'],,['Yes'],(49)
['1815 MHz'],['EVGA'],['3072'],"['10.62"" x 4.38""']",['NVIDIA'],['Double Fans'],,"['April 21, 2020']",['DirectX 12'],['3 x DisplayPort 1.4'],,['15500 MHz'],,,['GeForce RTX 2080 SUPER'],,['2.2'],['1 x HDMI 2.0b'],['PCI Express 3.0'],['270 mm'],['7680 x 4320'],['256-Bit'],['8GB'],['GDDR6'],['08G-P4-2083-KR'],['4'],['OpenGL 4.5'],"['Windows 10 (64-bit), Windows 7 (64-bit)']",,,,,,['SLI Ready'],,['Dual Slot'],"['650W or greater power supply.PCI Express, PCI Express 2.0 or PCI Express 3.0 compliant motherboard with one graphics slot.']",['250W'],,['Yes'],(42)
,,,,,,,"['February 08, 2019']",,,,,,,['GeForce RTX 2080'],['NVIDIA GeForce RTX 20 Series'],,,,,,,,,,,,,,,,,,,,,,['260W'],,,(3)
